,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation,wctimestring
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:11 PM EST),0 - 0,0,,,,,,,8:11 PM
1,SUB,1,12:00,SUB: Holmgren Starts playing.,0 - 0,0,,,Chet Holmgren,OKC,,,
2,SUB,1,12:00,SUB: Dort Starts playing.,0 - 0,0,,,Luguentz Dort,OKC,,,
3,SUB,1,12:00,SUB: Giddey Starts playing.,0 - 0,0,,,Josh Giddey,OKC,,,
4,SUB,1,12:00,SUB: Williams Starts playing.,0 - 0,0,,,Jalen Williams,OKC,,,
5,SUB,1,12:00,SUB: Gilgeous-Alexander Starts playing.,0 - 0,0,,,Shai Gilgeous-Alexander,OKC,,,
6,SUB,1,12:00,SUB: Thompson Starts playing.,0 - 0,0,,,Klay Thompson,GSW,,,
7,SUB,1,12:00,SUB: Looney Starts playing.,0 - 0,0,,,Kevon Looney,GSW,,,
8,SUB,1,12:00,SUB: Wiggins Starts playing.,0 - 0,0,,,Andrew Wiggins,GSW,,,
9,SUB,1,12:00,SUB: Green Starts playing.,0 - 0,0,,,Draymond Green,GSW,,,
10,SUB,1,12:00,SUB: Curry Starts playing.,0 - 0,0,,,Stephen Curry,GSW,,,
11,JUMPBALL,1,12:00,Jump Ball Holmgren vs. Looney: Tip to Green,0 - 0,0,Chet Holmgren,OKC,Kevon Looney,GSW,Draymond Green,GSW,8:11 PM
12,STEAL.TURNOVER,1,11:45,Giddey STEAL (1 STL)  Thompson Bad Pass Turnover (P1.T1),0 - 0,0,Klay Thompson,GSW,Josh Giddey,OKC,,,8:11 PM
13,3POINTMISS,1,11:36,MISS Dort 25' 3PT Jump Shot,0 - 0,0,Luguentz Dort,OKC,,,,,8:11 PM
14,REBOUND,1,11:32,Looney REBOUND (Off:0 Def:1),0 - 0,0,Kevon Looney,GSW,,,,,8:11 PM
15,3POINTMISS,1,11:22,MISS Wiggins 3PT Jump Shot,0 - 0,0,Andrew Wiggins,GSW,,,,,8:11 PM
16,REBOUND,1,11:19,Holmgren REBOUND (Off:0 Def:1),0 - 0,0,Chet Holmgren,OKC,,,,,8:11 PM
17,2POINT.ASSIST,1,11:09,Giddey 1' Cutting Layup Shot (2 PTS) (Dort 1 AST),0 - 2,2,Josh Giddey,OKC,Luguentz Dort,OKC,,,8:12 PM
18,2POINT.ASSIST,1,10:50,Green 2' Cutting Layup Shot (2 PTS) (Looney 1 AST),2 - 2,TIE,Draymond Green,GSW,Kevon Looney,GSW,,,8:12 PM
19,FOUL,1,10:33,Holmgren Offensive Charge Foul (P1) (R.Acosta),2 - 2,TIE,Chet Holmgren,OKC,Draymond Green,GSW,,,8:12 PM
20,STEAL,1,10:33,Holmgren Offensive Foul Turnover (P1.T1),2 - 2,TIE,Chet Holmgren,OKC,,,,,8:12 PM
21,2POINTMISS.BLOCK,1,10:20,Holmgren BLOCK (1 BLK)  MISS Wiggins 2' Turnaround Jump Shot,2 - 2,TIE,Andrew Wiggins,GSW,,,Chet Holmgren,OKC,8:13 PM
22,REBOUND,1,10:17,Looney REBOUND (Off:1 Def:1),2 - 2,TIE,Kevon Looney,GSW,,,,,8:13 PM
23,3POINTMISS,1,10:15,MISS Thompson 25' 3PT Jump Shot,2 - 2,TIE,Klay Thompson,GSW,,,,,8:13 PM
24,REBOUND,1,10:15,Jal. Williams REBOUND (Off:0 Def:1),2 - 2,TIE,Jalen Williams,OKC,,,,,8:13 PM
25,3POINT,1,10:06,Jal. Williams 25' 3PT Step Back Jump Shot (3 PTS),2 - 5,3,Jalen Williams,OKC,,,,,8:13 PM
26,3POINT,1,9:55,Curry 25' 3PT Step Back Jump Shot (3 PTS),5 - 5,TIE,Stephen Curry,GSW,,,,,8:13 PM
27,FOUL,1,9:39,Thompson S.FOUL (P1.T1) (C.Blair),5 - 5,TIE,Klay Thompson,GSW,Chet Holmgren,OKC,,,8:13 PM
28,FTMAKE,1,9:39,Holmgren Free Throw 1 of 2 (1 PTS),5 - 6,1,Chet Holmgren,OKC,,,,,8:14 PM
29,FTMAKE,1,9:39,Holmgren Free Throw 2 of 2 (2 PTS),5 - 7,2,Chet Holmgren,OKC,,,,,8:14 PM
30,3POINTMISS,1,9:20,MISS Green 3PT Jump Shot,5 - 7,2,Draymond Green,GSW,,,,,8:14 PM
31,REBOUND,1,9:16,Wiggins REBOUND (Off:1 Def:0),5 - 7,2,Andrew Wiggins,GSW,,,,,8:15 PM
32,2POINTMISS,1,9:13,MISS Thompson 20' Jump Shot,5 - 7,2,Klay Thompson,GSW,,,,,8:15 PM
