,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period,0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Holmgren: Tip to Gilgeous-Alexander,0,0,Kevon Looney,GSW,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC
2,2POINT,1,11:45,Gilgeous-Alexander 2' Driving Layup (2 PTS),2 - 0,-2,Shai Gilgeous-Alexander,OKC,,,,
3,3POINT,1,11:27,Thompson 26' 3PT Jump Shot (3 PTS),2 - 3,1,Klay Thompson,GSW,,,,
4,FOUL,1,11:12,Wiggins P.FOUL (P1.T1),2 - 3,1,Andrew Wiggins,GSW,Josh Giddey,OKC,,
5,TURNOVER,1,11:06,Gilgeous-Alexander Bad Pass Turnover (P1.T1),2 - 3,1,Shai Gilgeous-Alexander,OKC,,,,
6,STEAL,1,11:05,Curry STEAL (1 STL),2 - 3,1,Stephen Curry,GSW,,,,
7,2POINT,1,11:01,Curry 2' Driving Finger Roll Layup (2 PTS),2 - 5,3,Stephen Curry,GSW,,,,
8,2POINT,1,10:43,Holmgren 13' Turnaround Fadeaway Bank Jump Shot (2 PTS),4 - 5,1,Chet Holmgren,OKC,,,,
9,3POINTMISS,1,10:24,MISS Thompson 27' 3PT Jump Shot,4 - 5,1,Klay Thompson,GSW,,,,
10,REBOUND,1,10:21,Dort REBOUND (Off:0 Def:1),4 - 5,1,Luguentz Dort,OKC,,,,
11,2POINT,1,10:14,Giddey 6' Driving Floating Bank Jump Shot (2 PTS),6 - 5,-1,Josh Giddey,OKC,,,,
12,3POINTMISS,1,9:57,MISS Green 25' 3PT Jump Shot,6 - 5,-1,Draymond Green,GSW,,,,
13,REBOUND,1,9:54,Giddey REBOUND (Off:0 Def:1),6 - 5,-1,Josh Giddey,OKC,,,,
14,3POINT,1,9:40,Dort 25' 3PT Jump Shot (3 PTS),9 - 5,-4,Luguentz Dort,OKC,,,,
15,TURNOVER,1,9:24,Curry Bad Pass Turnover (P1.T1),9 - 5,-4,Stephen Curry,GSW,,,,
16,STEAL,1,9:23,Dort STEAL (1 STL),9 - 5,-4,Luguentz Dort,OKC,,,,
17,FOUL,1,9:20,Green P.FOUL (P1.T2),9 - 5,-4,Draymond Green,GSW,Shai Gilgeous-Alexander,OKC,,
18,FTMAKE,1,9:20,Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),10 - 5,-5,Shai Gilgeous-Alexander,OKC,,,,
19,FTMAKE,1,9:20,Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),11 - 5,-6,Shai Gilgeous-Alexander,OKC,,,,
20,2POINT,1,9:04,Looney 2' Cutting Layup Shot (2 PTS),11 - 7,-4,Kevon Looney,GSW,,,,
21,SUB,1,8:45,SUB: Jerome FOR Dort,11 - 7,-4,Luguentz Dort,OKC,Ty Jerome,OKC,,
22,SUB,1,8:45,SUB: Diallo FOR Giddey,11 - 7,-4,Josh Giddey,OKC,Hamidou Diallo,OKC,,
23,3POINTMISS,1,8:36,MISS Diallo 27' 3PT Jump Shot,11 - 7,-4,Hamidou Diallo,OKC,,,,
24,REBOUND,1,8:33,Green REBOUND (Off:0 Def:1),11 - 7,-4,Draymond Green,GSW,,,,
25,2POINT,1,8:19,Curry 1' Driving Layup (4 PTS),11 - 9,-2,Stephen Curry,GSW,,,,
26,2POINTMISS,1,8:05,MISS Gilgeous-Alexander 16' Pullup Jump Shot,11 - 9,-2,Shai Gilgeous-Alexander,OKC,,,,
27,REBOUND,1,8:02,Thompson REBOUND (Off:0 Def:1),11 - 9,-2,Klay Thompson,GSW,,,,
28,3POINT,1,7:56,Wiggins 24' 3PT Jump Shot (3 PTS),11 - 12,1,Andrew Wiggins,GSW,,,,
29,FOUL,1,7:48,Looney P.FOUL (P1.T3),11 - 12,1,Kevon Looney,GSW,Chet Holmgren,OKC,,
30,TURNOVER,1,7:39,Holmgren Lost Ball Turnover (P1.T2),11 - 12,1,Chet Holmgren,OKC,,,,
31,STEAL,1,7:38,Thompson STEAL (1 STL),11 - 12,1,Klay Thompson,GSW,,,,
32,3POINT,1,7:33,Thompson 29' 3PT Pullup Jump Shot (6 PTS),11 - 15,4,Klay Thompson,GSW,,,,
33,FOUL,1,7:22,Thompson P.FOUL (P1.T4),11 - 15,4,Klay Thompson,GSW,Shai Gilgeous-Alexander,OKC,,
34,FTMISS,1,7:22,MISS Gilgeous-Alexander Free Throw 1 of 2,11 - 15,4,Shai Gilgeous-Alexander,OKC,,,,
35,SUB,1,7:22,SUB: Wiseman FOR Looney,11 - 15,4,Kevon Looney,GSW,James Wiseman,GSW,,
36,SUB,1,7:22,SUB: Lamb FOR Thompson,11 - 15,4,Klay Thompson,GSW,Anthony Lamb,GSW,,
37,REBOUND,1,7:22,THUNDER Rebound,11 - 15,4,,,,,,
38,FTMISS,1,7:22,MISS Gilgeous-Alexander Free Throw 2 of 2,11 - 15,4,Shai Gilgeous-Alexander,OKC,,,,
39,REBOUND,1,7:22,Curry REBOUND (Off:0 Def:1),11 - 15,4,Stephen Curry,GSW,,,,
40,3POINT,1,7:07,Curry 26' 3PT Step Back Jump Shot (7 PTS),11 - 18,7,Stephen Curry,GSW,,,,
41,FOUL,1,6:53,Lamb P.FOUL (P1.T5),11 - 18,7,Anthony Lamb,GSW,Chet Holmgren,OKC,,
42,TIMEOUT,1,6:53,Thunder Timeout: Regular (Reg.1 Short 0),11 - 18,7,,,,,,
43,2POINTMISS,1,6:40,MISS Gilgeous-Alexander 10' Driving Floating Jump Shot,11 - 18,7,Shai Gilgeous-Alexander,OKC,,,,
44,REBOUND,1,6:37,Wiseman REBOUND (Off:0 Def:1),11 - 18,7,James Wiseman,GSW,,,,
45,2POINTMISS,1,6:28,MISS Curry 5' Driving Layup,11 - 18,7,Stephen Curry,GSW,,,,
46,REBOUND,1,6:26,Holmgren REBOUND (Off:0 Def:1),11 - 18,7,Chet Holmgren,OKC,,,,
47,2POINTMISS,1,6:13,MISS Jerome 23' Pullup Jump Shot,11 - 18,7,Ty Jerome,OKC,,,,
48,REBOUND,1,6:10,Green REBOUND (Off:0 Def:2),11 - 18,7,Draymond Green,GSW,,,,
49,SUB,1,6:05,SUB: J. Green FOR Holmgren,11 - 18,7,Chet Holmgren,OKC,JaMychal Green,OKC,,
50,SUB,1,6:05,SUB: Sarr FOR Robinson-Earl,11 - 18,7,Jeremiah Robinson-Earl,OKC,Olivier Sarr,OKC,,
51,TURNOVER,1,5:54,Curry Step Out of Bounds Turnover Turnover (P2.T2),11 - 18,7,Stephen Curry,GSW,,,,
52,3POINT,1,5:38,Gilgeous-Alexander 26' 3PT Step Back Jump Shot (7 PTS),14 - 18,4,Shai Gilgeous-Alexander,OKC,,,,
53,3POINTMISS,1,5:19,MISS Lamb 27' 3PT Jump Shot,14 - 18,4,Anthony Lamb,GSW,,,,
54,REBOUND,1,5:16,Diallo REBOUND (Off:0 Def:1),14 - 18,4,Hamidou Diallo,OKC,,,,
55,2POINTMISS,1,5:07,MISS J. Green 8' Hook Shot,14 - 18,4,JaMychal Green,OKC,,,,
56,REBOUND,1,5:05,Wiseman REBOUND (Off:0 Def:2),14 - 18,4,James Wiseman,GSW,,,,
57,2POINT,1,4:56,Wiseman 13' Turnaround Jump Shot (2 PTS),14 - 20,6,James Wiseman,GSW,,,,
58,2POINT,1,4:40,Gilgeous-Alexander 2' Driving Reverse Layup (9 PTS),16 - 20,4,Shai Gilgeous-Alexander,OKC,,,,
59,SUB,1,4:34,SUB: Dort FOR Jal. Williams,16 - 20,4,Jalen Williams,OKC,Luguentz Dort,OKC,,
60,SUB,1,4:34,SUB: Bazley FOR Gilgeous-Alexander,16 - 20,4,Shai Gilgeous-Alexander,OKC,Darius Bazley,OKC,,
61,SUB,1,4:34,SUB: Kuminga FOR Wiggins,16 - 20,4,Andrew Wiggins,GSW,Jonathan Kuminga,GSW,,
62,SUB,1,4:34,SUB: Poole FOR Curry,16 - 20,4,Stephen Curry,GSW,Jordan Poole,GSW,,
63,2POINTMISS,1,4:19,MISS Kuminga 13' Fadeaway Jumper,16 - 20,4,Jonathan Kuminga,GSW,,,,
64,REBOUND,1,4:16,Sarr REBOUND (Off:0 Def:1),16 - 20,4,Olivier Sarr,OKC,,,,
65,3POINT,1,4:04,Jerome 25' 3PT Jump Shot (3 PTS),19 - 20,1,Ty Jerome,OKC,,,,
66,FOUL,1,3:54,Poole S.FOUL (P1.T6),19 - 20,1,Jordan Poole,GSW,Luguentz Dort,OKC,,
67,SUB,1,3:54,SUB: Mann FOR Jerome,19 - 20,1,Ty Jerome,OKC,Tre Mann,OKC,,
68,FTMAKE,1,3:54,Dort Free Throw 1 of 2 (4 PTS),20 - 20,TIE,Luguentz Dort,OKC,,,,
69,FTMAKE,1,3:54,Dort Free Throw 2 of 2 (5 PTS),21 - 20,-1,Luguentz Dort,OKC,,,,
